,StationName,WaterYear,pH,Hydrogen,Calcium,Magnesium,Sodium,Potassium,Ammonium,Chloride,Sulfate,Nitrate,Dissolved_organic_carbon,Snow_depth
2,APGAR LOOKOUT MT,1996,5.2,6.3,<3.1,<1.7,4.3,3.8,1.9,<1.1,2.5,5.2,1.1,160.0
3,APGAR LOOKOUT MT,1997,5.0,10.0,<3.1,<1.7,,1,2.3,1.4,5.2,4.9,1.1,254.0
4,APGAR LOOKOUT MT,1998,5.0,10.0,2.5,0.8,2.2,<0.5,6,1.4,6,6.9,0.7,145.0
5,APGAR LOOKOUT MT,1999,5.3,5.0,2.5,0.8,2,0.6,5.4,1.4,4.6,5.3,0.4,183.0
6,APGAR LOOKOUT MT,2000,5.1,7.9,1.5,0.8,<1,<0.4,4.4,<0.6,4.8,6.7,0.41,180.0
7,APGAR LOOKOUT MT,2002,5.2,6.3,1.5,0.8,<1,<0.4,5.4,1.1,3.3,6.9,0.55,142.0
8,APGAR LOOKOUT MT,2003,5.0,10.0,3,0.8,1.2,<0.4,6.9,1.1,4.4,6.9,0.51,173.0
9,APGAR LOOKOUT MT,2004,5.1,7.9,2.6,0.4,1.4,<0.4,5,2,4.2,7.6,0.56,178.0
10,APGAR LOOKOUT MT,2006,5.4,4.0,<0.4,<0.2,1.5,<0.4,5.3,1.7,3.5,5.8,0.43,183.0
11,APGAR LOOKOUT MT,2007,5.2,6.3,3.9,0.7,1.4,0.6,4.7,1.4,4,6.4,0.35,152.0
12,APGAR LOOKOUT MT,2008,5.3,5.0,4.5,0.8,1.8,0.6,6.3,1.4,4.4,5.9,0.35,208.0
13,APGAR LOOKOUT MT,2009,5.5,3.2,3,0.8,<1,0.4,3.2,0.6,2.5,4.6,0.81,170.0
14,APGAR LOOKOUT MT,2010,5.2,6.3,2.5,0.8,<1,0.5,6.3,0.6,3.1,6.6,0.45,165.0
15,APGAR LOOKOUT MT,2011,5.2,6.3,2,0.5,1.1,<0.4,4.5,<0.6,3.5,5.9,0.44,259.0
16,APGAR LOOKOUT MT,2012,4.9,12.6,3,<1.6,2.2,<0.5,6,2.2,4,5.4,0.4,218.0
17,APGAR LOOKOUT MT,2013,5.1,7.9,2.5,<1.6,1.3,0.5,6.4,1.7,2.9,5.7,0.5,185.0
18,APGAR LOOKOUT MT,2014,5.8,1.6,2,<0.8,1.2,<0.3,5.4,0.8,2.9,4.3,0.32,198.0
19,APGAR LOOKOUT MT,2015,,,,,,,,,,,,81.0
20,APGAR LOOKOUT MT,2016,5.4,4.0,0.5,<0.2,0.9,0.3,2.9,0.6,1,2.9,<0.2,112.0
21,APGAR LOOKOUT MT,2017,5.4,4.0,2,<0.2,1.3,0.3,4.6,1.1,2.7,5.9,0.3,206.0
22,APGAR LOOKOUT MT,2018,5.5,3.2,2.2,0.7,1.5,0.4,4.5,1.4,2.3,5.3,0.33,267.0
53,BERTHOUD PASS CO,1993,5.0,10.0,3.7,<1.7,<3,<0.5,3.2,1.1,6.2,7.9,0.4,239.0
54,BERTHOUD PASS CO,1994,4.9,12.6,4.5,<1.7,<3,<0.5,2.5,1.7,4.6,9.1,0.3,185.0
55,BERTHOUD PASS CO,1995,5.2,6.3,<3.1,<1.7,3.9,<0.5,2.9,1.7,4.4,7,0.4,145.0
56,BERTHOUD PASS CO,1996,5.2,6.3,3.6,<1.7,2.2,0.5,1.5,1.1,4.4,6.8,0.5,213.0
57,BERTHOUD PASS CO,1997,5.1,7.9,5.7,<1.7,,1,3,1.7,5.4,7.9,0.9,221.0
58,BERTHOUD PASS CO,1998,5.1,7.9,5.5,0.8,4.8,0.8,3.5,5.1,5.6,8.9,0.8,196.0
59,BERTHOUD PASS CO,1999,5.3,5.0,11,2.5,3.9,2.4,4.4,3.4,5.6,10.5,1.8,170.0
60,BERTHOUD PASS CO,2000,5.1,7.9,5.5,1.6,8.3,1.2,4.4,7.6,5.2,9,0.75,193.0
61,BERTHOUD PASS CO,2001,5.1,7.9,5.7,1.1,3.1,1.6,4,2.3,6,12.2,0.9,190.0
62,BERTHOUD PASS CO,2002,5.2,6.3,10.5,1.6,2.4,0.8,3.7,2.8,4.8,13.4,0.61,130.0
63,BERTHOUD PASS CO,2003,5.3,5.0,9,4.9,4.6,3.1,6.2,4.2,4.2,10.6,1.65,198.0
64,BERTHOUD PASS CO,2004,5.3,5.0,6.2,1.3,1,0.9,5.7,1.4,4.4,9.7,0.67,165.0
65,BERTHOUD PASS CO,2005,5.2,6.3,7.5,0.8,5.1,0.9,5.7,3.9,6,11.1,0.49,203.0
66,BERTHOUD PASS CO,2006,6.5,0.3,36.9,2.5,3.3,0.8,3.2,2.8,5.6,8.6,,201.0
67,BERTHOUD PASS CO,2007,5.3,5.0,6.2,1.2,2.3,1.5,1.3,2.5,3.7,8.1,0.74,173.0
68,BERTHOUD PASS CO,2008,5.1,7.9,14.4,2.5,3.1,2.3,2.7,2.8,4.8,9.7,0.84,203.0
69,BERTHOUD PASS CO,2009,6.4,0.4,31.9,2.5,3.2,2.7,<1,2.5,7.1,7.5,1.17,188.0
70,BERTHOUD PASS CO,2010,5.7,2.0,15.9,3.3,4.2,1.7,5.5,3.7,5.2,11.1,1.11,168.0
71,BERTHOUD PASS CO,2011,5.5,3.2,7,1.4,1.7,1.6,2.2,1.4,3.1,6.3,1.27,206.0
72,BERTHOUD PASS CO,2012,5.3,5.0,16,3.3,7,1.3,3.7,5.6,6.7,7.3,0.8,117.0
73,BERTHOUD PASS CO,2013,5.5,3.2,13.5,3.3,2.6,2,6.4,2.8,5.8,9.3,1,165.0
74,BERTHOUD PASS CO,2014,6.5,0.3,18.5,3.3,2,6.8,14.4,2.3,4.6,6.9,1.7,218.0
75,BERTHOUD PASS CO,2015,5.5,3.2,5.5,1.1,1.5,0.7,3.4,1.4,2.7,5.4,0.69,160.0
76,BERTHOUD PASS CO,2016,5.5,3.2,9,1.6,3,2.1,<1,2.5,3.1,3.5,1.42,188.0
77,BERTHOUD PASS CO,2017,5.8,1.6,7,0.8,3.9,1,3.7,3.7,3.7,6.1,0.75,180.0
78,BERTHOUD PASS CO,2018,6.0,1.0,10.8,2.6,3.2,2.1,6.2,2.5,4.2,6.4,0.86,226.0
79,BIG MOUNTAIN MT,1993,5.1,7.9,<3.1,<1.7,<3,<0.5,3.2,<1.1,5.4,5.3,0.3,208.0
80,BIG MOUNTAIN MT,1994,5.0,10.0,<3.1,<1.7,<3,<0.5,3.9,<1.1,4.8,6.2,0.6,229.0
81,BIG MOUNTAIN MT,1995,5.2,6.3,<3.1,<1.7,<3,0.5,3.3,<1.1,3.7,4.4,0.7,267.0
82,BIG MOUNTAIN MT,1996,5.2,6.3,<3.1,<1.7,<0.9,0.5,2.2,<1.1,2.9,3.1,0.6,287.0
83,BIG MOUNTAIN MT,1997,5.0,10.0,<3.1,<1.7,,<0.5,2,<1.1,3.7,4.6,,366.0
84,BIG MOUNTAIN MT,1998,5.1,7.9,2,<0.2,1.3,<0.5,3,1.1,3.5,5.1,0.5,231.0
85,BIG MOUNTAIN MT,1999,5.2,6.3,1,<0.2,<1,<0.4,4,0.8,3.3,3.7,0.3,366.0
86,BIG MOUNTAIN MT,2000,5.2,6.3,1,0.8,<1,<0.4,2.4,<0.6,3.1,4.9,0.5,267.0
87,BIG MOUNTAIN MT,2001,5.0,10.0,2,0.8,1.5,<0.4,4.3,<0.6,6,8.4,0.5,132.0
88,BIG MOUNTAIN MT,2002,5.3,5.0,1.5,<0.2,5.4,<0.4,4.9,0.6,2.7,4.9,0.36,297.0
89,BIG MOUNTAIN MT,2003,5.2,6.3,2.5,0.8,1.1,<0.4,4,0.8,2.7,4.6,0.4,259.0
90,BIG MOUNTAIN MT,2004,5.1,7.9,0.7,0.2,<1,1.2,3.3,1.4,3.5,5.3,0.62,251.0
91,BIG MOUNTAIN MT,2005,5.1,7.9,<0.4,<0.2,<1,<0.4,3,1.1,3.5,5.5,0.23,160.0
92,BIG MOUNTAIN MT,2006,5.3,5.0,<0.4,<0.2,<1,<0.4,2.8,1.4,2.3,3.8,0.21,305.0
93,BIG MOUNTAIN MT,2007,5.2,6.3,1.7,0.4,1.4,<0.4,2.2,1.4,3.1,4.1,0.29,259.0
94,BIG MOUNTAIN MT,2008,5.1,7.9,4,<0.2,<1,<0.4,2.2,0.6,2.5,4,0.25,297.0
95,BIG MOUNTAIN MT,2009,5.3,5.0,<0.4,<0.2,<1,<0.4,2.4,<0.6,2.3,3.1,0.22,239.0
96,BIG MOUNTAIN MT,2010,5.3,5.0,1.5,0.8,1.1,0.6,4,0.8,2.9,4.1,0.48,196.0
97,BIG MOUNTAIN MT,2011,5.2,6.3,0.9,0.2,<1,<0.4,2.4,<0.6,2.5,3.4,0.24,315.0
98,BIG MOUNTAIN MT,2012,4.7,20.0,2,<1.6,1.3,<0.5,4.7,1.1,2.9,3.9,0.2,264.0
99,BIG MOUNTAIN MT,2013,5.0,10.0,3.5,<1.6,<0.9,<0.5,3.5,0.8,2.7,4.3,0.2,254.0
100,BIG MOUNTAIN MT,2014,5.5,3.2,1.5,<0.8,0.7,<0.3,2.6,0.5,2.3,3.7,0.3,254.0
101,BIG MOUNTAIN MT,2015,5.4,4.0,0.7,0.2,0.4,0.2,2.2,<0.6,1.5,2.5,<0.2,196.0
102,BIG MOUNTAIN MT,2016,5.3,5.0,0.5,<0.2,0.9,0.4,2.4,<0.6,1.5,2.5,0.31,269.0
103,BIG MOUNTAIN MT,2017,5.3,5.0,0.5,<0.2,0.9,0.3,2.6,0.8,2.5,3.5,0.28,312.0
104,BIG MOUNTAIN MT,2018,5.4,4.0,1.4,0.6,1,0.2,2.7,0.8,1.9,3.4,0.37,297.0
105,BIG SKY MT,1993,5.4,4.0,5.1,<1.7,4.3,0.5,5.4,1.1,6.7,7.6,0.5,137.0
106,BIG SKY MT,1994,5.8,1.6,8.1,<1.7,4.8,0.8,6,1.7,7.3,6.9,0.7,173.0
107,BIG SKY MT,1995,5.4,4.0,4.5,<1.7,<3,0.5,4.4,<1.1,4.2,5.1,0.7,196.0
108,BIG SKY MT,1996,5.6,2.5,4.3,<1.7,<0.9,1.3,2.3,<1.1,3.3,5.2,0.5,257.0
109,BIG SKY MT,1997,5.4,4.0,<3.1,<1.7,,<0.5,2.4,<1.1,2.1,3.4,0.6,188.0
110,BIG SKY MT,1998,5.2,6.3,3.5,0.8,0.9,<0.5,3.7,0.8,3.5,5.6,0.7,127.0
111,BIG SKY MT,1999,5.5,3.2,5.5,0.8,<1,<0.4,4.2,1.4,3.3,5.4,0.3,239.0
112,BIG SKY MT,2000,5.5,3.2,5,1.6,<1,0.7,4,<0.6,2.5,4.6,0.6,119.0
113,BIG SKY MT,2001,5.4,4.0,4,0.8,<1,0.5,4.2,<0.6,4.4,6.6,0.5,124.0
114,BIG SKY MT,2002,5.5,3.2,5,0.8,<1,0.5,4.5,0.6,2.9,4.7,0.62,119.0
115,BIG SKY MT,2003,5.7,2.0,9.5,2.5,4.8,0.8,4.7,3.1,3.7,4.9,0.54,178.0
116,BIG SKY MT,2004,5.4,4.0,2.7,0.4,<1,<0.4,3,0.6,2.9,4.4,0.28,76.0
117,BIG SKY MT,2005,5.5,3.2,9,1.6,<1,0.7,4.7,2.5,3.1,6,0.31,58.0
118,BIG SKY MT,2006,5.9,1.3,7,1.6,3.5,0.7,5.7,3.4,5,4.6,0.51,150.0
119,BIG SKY MT,2007,5.6,2.5,4.5,0.7,<1,0.6,3.7,0.8,2.7,3.8,0.37,114.0
120,BIG SKY MT,2008,5.9,1.3,13.4,1.6,1.3,0.8,8,1.1,5.2,7.2,0.5,150.0
121,BIG SKY MT,2009,5.7,2.0,4.5,0.8,2.2,0.7,4.2,0.8,2.7,4.6,0.77,102.0
122,BIG SKY MT,2010,5.5,3.2,5.5,1.6,2.6,2.3,4.8,3.1,3.7,6.3,0.59,165.0
123,BIG SKY MT,2011,5.8,1.6,8,1.6,5.4,0.7,3.4,4.2,3.5,4,0.66,264.0
124,BIG SKY MT,2012,5.1,7.9,6.5,<1.6,1.3,0.8,6.2,1.4,2.5,3,0.4,249.0
125,BIG SKY MT,2013,5.4,4.0,8.5,<1.6,2.6,0.5,6.4,3.1,3.1,5.7,0.5,147.0
126,BIG SKY MT,2014,6.0,1.0,7,1.6,4.3,0.6,3.2,4.3,2.3,3.4,0.35,259.0
127,BIG SKY MT,2015,5.8,1.6,7.8,1.9,5,0.9,4.4,2.5,4.6,3.9,0.57,147.0
128,BIG SKY MT,2016,5.6,2.5,4,0.8,1.3,0.6,4.8,<0.6,1.9,3.6,0.42,130.0
129,BIG SKY MT,2017,5.6,2.5,5,0.8,2.6,0.4,3.7,1.4,2.9,3.4,0.32,132.0
130,BIG SKY MT,2018,5.7,2.0,5.2,1.3,1.1,0.7,5.8,0.8,2.3,4,0.68,175.0
140,BROOKLYN LAKE WY,1993,5.0,10.0,3.9,<1.7,<3,<0.5,3.5,1.1,8.7,7.5,0.5,178.0
141,BROOKLYN LAKE WY,1994,5.2,6.3,13.9,3.3,4.8,1.8,5.4,1.1,9.2,9.4,0.9,394.0
142,BROOKLYN LAKE WY,1994,5.2,6.3,7,2,<3,1.3,5.4,1.7,11,14.1,1.4,216.0
143,BROOKLYN LAKE WY,1995,5.0,10.0,6.5,<1.7,<3,0.8,5.2,1.1,8.7,9.7,1.2,173.0
144,BROOKLYN LAKE WY,1996,5.2,6.3,5.5,<1.7,1.3,0.8,3.2,1.1,6.7,9.2,0.8,218.0
145,BROOKLYN LAKE WY,1997,4.9,12.6,5.1,<1.7,,1,2.7,<1.1,7.3,9.3,1,221.0
146,BROOKLYN LAKE WY,1998,5.0,10.0,6,1.6,1.3,1.3,4.4,1.4,8.1,11.6,0.7,229.0
147,BROOKLYN LAKE WY,1999,5.2,6.3,8,1.6,1.7,0.5,4.9,1.7,7.3,9.9,0.4,239.0
148,BROOKLYN LAKE WY,2000,4.9,12.6,5,1.6,1.1,<0.4,3.9,0.6,5.8,8.5,0.41,224.0
149,BROOKLYN LAKE WY,2001,5.5,3.2,7.3,1.2,1.6,1.1,4.5,<0.6,6,10.8,0.9,165.0
150,BROOKLYN LAKE WY,2002,6.0,1.0,24.4,4.9,5.5,2.3,4.3,1.4,11.9,13.5,1.55,170.0
151,BROOKLYN LAKE WY,2003,5.6,2.5,15.9,4,4,1.8,7.9,2,10.2,11.3,1.42,157.0
152,BROOKLYN LAKE WY,2004,5.2,6.3,13,3.5,1,5.1,6.4,1.7,9.8,12.4,1.47,147.0
153,BROOKLYN LAKE WY,2005,5.4,4.0,6.5,0.8,1.5,0.7,4.9,<0.6,6,6.7,0.31,188.0
154,BROOKLYN LAKE WY,2006,5.4,4.0,7.5,1.6,2.3,1.5,5,1.4,7.9,9.9,0.98,231.0
155,BROOKLYN LAKE WY,2007,5.7,2.0,12.4,3.4,1.6,5.1,<1,1.7,7.5,8.5,1.52,152.0
156,BROOKLYN LAKE WY,2008,5.3,5.0,10.5,1.6,2.4,0.8,4,2.3,6.9,9.8,0.67,236.0
157,BROOKLYN LAKE WY,2009,6.0,1.0,12.9,2.5,2.7,1.3,5.4,1.1,6.2,7.1,0.86,244.0
158,BROOKLYN LAKE WY,2010,5.2,6.3,5.5,1.6,1.1,0.9,6.2,0.6,5.2,7.2,0.74,246.0
159,BROOKLYN LAKE WY,2011,5.5,3.2,9.8,2.1,1.7,1.6,4.4,0.8,5.2,6.7,1.14,290.0
160,BROOKLYN LAKE WY,2012,5.4,4.0,21.5,4.9,5.2,2.8,3.7,3.2,7.7,6.8,1.4,155.0
161,BROOKLYN LAKE WY,2013,5.6,2.5,16.5,3.3,2.6,2.6,8.6,1.7,7.9,8.6,1.2,173.0
162,BROOKLYN LAKE WY,2014,5.9,1.3,9.5,2.5,2.1,1.6,6.5,1.4,5.8,6.6,0.72,274.0
163,BROOKLYN LAKE WY,2015,5.8,1.6,7.8,1.6,1.5,0.9,5.8,1.1,4.6,6.2,0.52,185.0
164,BROOKLYN LAKE WY,2016,5.7,2.0,11,1.6,2.6,1.7,4.9,1.1,4.6,6,0.69,201.0
165,BROOKLYN LAKE WY,2017,5.6,2.5,14.4,3.3,1.7,2.5,4.8,1.4,5,6.8,1.83,178.0
166,BROOKLYN LAKE WY,2018,6.0,1.0,11.4,2.4,3.5,1.2,7.8,2,5.6,5.8,0.54,226.0
167,BRUMLEY CO,1993,5.2,6.3,3.5,<1.7,<3,0.5,2.2,<1.1,6.2,5.6,0.3,142.0
168,BRUMLEY CO,1994,5.2,6.3,9.5,<1.7,<3,1,4.3,2,5.4,10.2,0.7,97.0
169,BRUMLEY CO,1995,5.2,6.3,3.5,<1.7,<3,<0.5,2.5,<1.1,2.9,6.1,0.8,135.0
170,BRUMLEY CO,1996,5.4,4.0,7,<1.7,<0.9,1.5,1.7,<1.1,4.6,6.6,0.6,137.0
171,BRUMLEY CO,1997,5.2,6.3,3.7,<1.7,,0.5,1.3,<1.1,4,7.1,0.8,89.0
172,BRUMLEY CO,1998,4.9,12.6,3,0.8,1.3,<0.5,2.7,0.8,5.4,8.4,0.3,84.0
173,BRUMLEY CO,1999,5.4,4.0,10.5,1.6,1.5,0.9,3.7,1.4,5.4,10.4,0.5,97.0
174,BRUMLEY CO,2000,5.1,7.9,5.5,1.6,<1,2,3.9,<0.6,5.2,8.6,0.8,89.0
175,BRUMLEY CO,2001,5.2,6.3,12,2.5,5.2,1.4,14.6,1.1,13.7,15.2,1,109.0
176,BRUMLEY CO,2002,6.4,0.4,31.9,9.8,1.2,7.2,<1,1.7,5.8,10.5,3.47,66.0
177,BRUMLEY CO,2003,5.2,6.3,8,2.5,1,2.9,4.3,1.4,4.2,9.5,2.17,114.0
178,BRUMLEY CO,2004,5.1,7.9,8.4,2.2,<1,6.6,4.5,3.1,5,11.4,2.07,79.0
179,BRUMLEY CO,2005,5.3,5.0,5.5,0.8,1.3,0.5,2.7,<0.6,3.5,6.8,<0.2,130.0
180,BRUMLEY CO,2006,5.9,1.3,9,0.8,1.2,<0.4,3,0.8,4.4,8.2,0.27,150.0
181,BRUMLEY CO,2007,5.6,2.5,17.8,2,3.6,1.7,3.8,1.4,8.3,10.5,0.69,122.0
182,BRUMLEY CO,2008,5.1,7.9,12,1.6,3.1,0.6,2.4,1.7,4.2,7.3,0.32,165.0
183,BRUMLEY CO,2009,6.2,0.6,19.9,2.5,2.2,1.2,2.9,1.1,4.8,7.3,0.77,124.0
184,BRUMLEY CO,2010,5.2,6.3,5.5,1.6,<1,0.6,3.5,<0.6,3.1,8.1,0.38,127.0
185,BRUMLEY CO,2011,5.8,1.6,10.4,1.6,1.4,0.7,3.2,<0.6,3.3,6.4,0.5,140.0
186,BRUMLEY CO,2012,5.3,5.0,19,4.1,3.9,1.3,4,3.2,4.4,6.8,0.9,99.0
187,BRUMLEY CO,2013,5.5,3.2,12.5,2.5,1.7,0.8,4.3,2,4.4,7.9,0.4,102.0
188,BRUMLEY CO,2014,6.1,0.8,13,2.5,2.8,0.6,3.9,1.3,4.8,6.2,0.34,157.0
189,BRUMLEY CO,2015,5.5,3.2,4.2,0.8,1,0.2,3.5,0.6,2.5,5.1,<0.2,112.0
190,BRUMLEY CO,2016,5.9,1.3,9,1.6,1.7,0.9,3.3,0.8,2.7,4.6,0.22,117.0
191,BRUMLEY CO,2017,5.6,2.5,3.5,0.8,0.4,0.4,2.1,0.6,1.7,3.9,0.39,104.0
192,BRUMLEY CO,2018,6.2,0.6,15.7,2.9,2,1,4.8,1.7,3.5,6.8,0.52,97.0
193,BUFFALO PASS CO,1993,4.8,15.8,<0.4,<0.2,1.7,<0.4,3.9,<1.1,11.5,8.4,<0.4,325.0
194,BUFFALO PASS CO,1994,4.8,15.8,10,2.2,2,<0.4,10.9,1.4,19.8,17.3,0.6,259.0
195,BUFFALO PASS CO,1995,4.9,12.6,5,<0.2,1,<0.4,5.8,1.4,12.1,10.8,0.6,279.0
196,BUFFALO PASS CO,1996,5.0,10.0,5.8,<1.7,1.3,1,3.7,<1.1,9,10.3,0.7,300.0
197,BUFFALO PASS CO,1997,5.9,1.3,4.7,1.8,,<0.5,2.7,<1.1,9.8,7.1,0.8,432.0
198,BUFFALO PASS CO,1998,4.7,20.0,3.5,0.8,0.4,<0.5,4.7,0.8,11,11,0.7,343.0
199,BUFFALO PASS CO,1999,5.2,6.3,12.9,1.6,2.5,0.5,5.4,1.7,12.1,12.4,0.3,340.0
200,BUFFALO PASS CO,2000,4.9,12.6,7,1.6,1.3,0.9,5.5,<0.6,9.8,8.1,0.38,338.0
201,BUFFALO PASS CO,2001,5.0,10.0,7,1.6,2.7,0.5,6.5,<0.6,11.2,13.1,,310.0
202,BUFFALO PASS CO,2002,5.2,6.3,11.5,2.5,1.8,0.7,5.8,1.1,9.4,15.2,0.53,259.0
203,BUFFALO PASS CO,2003,5.8,1.6,19.4,4,2.9,1,7.5,1.4,11,13.1,0.52,376.0
204,BUFFALO PASS CO,2004,5.0,10.0,6.4,1.2,<1,1.4,6.5,1.7,9.4,11.9,0.8,279.0
205,BUFFALO PASS CO,2005,5.1,7.9,4.5,0.8,1.1,0.7,4.8,0.6,7.1,7.9,0.21,351.0
206,BUFFALO PASS CO,2006,5.1,7.9,5,0.8,1.3,0.6,5,1.1,7.7,11.5,0.5,358.0
207,BUFFALO PASS CO,2007,5.2,6.3,8.6,1.9,1.2,1.5,5.2,1.1,8.7,11.5,0.64,290.0
208,BUFFALO PASS CO,2008,5.1,7.9,11,1.6,2.3,0.6,4.2,1.1,6.9,10.2,0.39,384.0
209,BUFFALO PASS CO,2009,6.1,0.8,19.4,1.6,2.1,0.6,4.9,1.1,6.9,8.4,0.63,427.0
210,BUFFALO PASS CO,2010,5.2,6.3,8.5,1.6,1.6,0.5,5.5,1.1,6.9,9.4,0.4,358.0
211,BUFFALO PASS CO,2011,5.2,6.3,2.5,0.6,<1,<0.4,2.9,<0.6,2.7,5.3,<0.2,470.0
212,BUFFALO PASS CO,2012,5.1,7.9,12,2.5,2.6,1.3,6.5,2.1,7.5,9,0.6,226.0
213,BUFFALO PASS CO,2013,5.2,6.3,14,3.3,1.7,1.3,7.9,1.7,7.5,10,0.7,277.0
214,BUFFALO PASS CO,2014,5.7,2.0,12.5,2.5,2.6,0.8,6.9,1.5,7.3,8.9,0.35,493.0
215,BUFFALO PASS CO,2015,5.4,4.0,7.1,1.7,2,0.4,6.9,1.1,6.5,8.1,0.32,318.0
216,BUFFALO PASS CO,2016,5.5,3.2,6,0.8,1.3,0.5,6.4,1.1,5.6,6.4,<0.2,348.0
217,BUFFALO PASS CO,2017,5.8,1.6,4.4,1.1,0.8,1.3,4.4,1.1,5.2,5.9,0.28,310.0
218,BUFFALO PASS CO,2018,6.0,1.0,12.8,2.6,4.7,1.2,7.9,2.5,7.1,6.8,0.61,315.0
220,CAMERON PASS CO,1993,5.0,10.0,4.7,<1.7,<3,1,3.9,2,9,7.3,0.6,259.0
221,CAMERON PASS CO,1994,5.0,10.0,6.1,<1.7,<3,1,4.7,1.1,7.9,9.3,0.6,213.0
222,CAMERON PASS CO,1995,5.0,10.0,6.9,<1.7,3.9,1.3,4.7,3.1,8.3,12.8,1.4,170.0
223,CAMERON PASS CO,1996,5.2,6.3,4.6,<1.7,1.3,1.3,2.6,1.1,6,6.1,1.3,206.0
224,CAMERON PASS CO,1997,4.9,12.6,3.7,<1.7,,<0.5,2.3,1.4,6,9.3,0.6,190.0
225,CAMERON PASS CO,1998,4.9,12.6,5.5,0.8,2.2,0.5,4,2,8.7,10.8,0.8,165.0
226,CAMERON PASS CO,1999,5.4,4.0,14.4,2.5,3.9,1.3,4.9,3.1,9.4,11.1,0.7,173.0
227,CAMERON PASS CO,2000,5.0,10.0,5,1.6,1,0.9,5.2,0.8,6.5,8.7,0.71,201.0
228,CAMERON PASS CO,2001,5.2,6.3,6,0.8,2,0.6,6.4,<0.6,8.1,11.8,0.56,147.0
229,CAMERON PASS CO,2002,5.3,5.0,11,2.5,3.6,0.8,4,1.7,8.1,12.6,0.67,122.0
230,CAMERON PASS CO,2003,5.1,7.9,5.5,2.5,1.3,0.8,4.2,0.8,6,8.9,0.5,231.0
231,CAMERON PASS CO,2004,5.0,10.0,5.8,1,2.1,2,4.9,2.8,6.7,11.9,1.01,132.0
232,CAMERON PASS CO,2005,5.3,5.0,7,1.6,2.1,2,5.5,1.4,6.5,7.9,0.67,188.0
